genKey,eid,eventName,city,badges,partyCap,gradeMix,buildTier,playerMonAvg,playerOff,playerBulk,playerSpe,playerAvgGrade,playerTeamTotal
gen1,68,Rival,0,0,2,g1:0/g2:0/g3:10/g4:90,early,457.38,81.63,249.07,73.15,3.9,914.75
gen1,1,Basic Trainer,0,0,2,g1:0/g2:0/g3:10/g4:90,early,457.38,81.63,249.07,73.15,3.9,914.75
gen1,4,Gym Trainer 1,1,0,2,g1:0/g2:0/g3:15/g4:85,early,463.56,83.11,252.09,74,3.85,927.13
gen1,5,Gym Leader 1,1,0,2,g1:0/g2:0/g3:15/g4:85,early,463.56,83.11,252.09,74,3.85,927.13
gen1,7,Basic Trainer,1,1,3,g1:0/g2:0/g3:15/g4:85,early,463.56,83.11,252.09,74,3.85,1390.69
gen1,8,Basic Trainer,1,1,3,g1:0/g2:0/g3:15/g4:85,early,463.56,83.11,252.09,74,3.85,1390.69
gen1,10,Gym Trainer 1,2,1,3,g1:0/g2:5/g3:25/g4:70,early,487.72,88.83,263.74,77.23,3.65,1463.16
gen1,11,Gym Leader 2,2,1,3,g1:0/g2:5/g3:25/g4:70,early,487.72,88.83,263.74,77.23,3.65,1463.16
gen1,14,Basic Trainer,2,2,4,g1:0/g2:5/g3:25/g4:70,early,487.72,88.83,263.74,77.23,3.65,1950.88
gen1,15,Basic Trainer,2,2,4,g1:0/g2:5/g3:25/g4:70,early,487.72,88.83,263.74,77.23,3.65,1950.88
gen1,17,Gym Trainer 1,3,2,4,g1:0/g2:10/g3:60/g4:30,mid,563.99,118.08,297.94,88.04,3.2,2255.96
gen1,18,Gym Leader 3,3,2,4,g1:0/g2:10/g3:60/g4:30,mid,563.99,118.08,297.94,88.04,3.2,2255.96
gen1,12,Rival,3,3,5,g1:0/g2:10/g3:60/g4:30,mid,563.99,118.08,297.94,88.04,3.2,2819.95
gen1,20,Basic Trainer,3,3,5,g1:0/g2:10/g3:60/g4:30,mid,563.99,118.08,297.94,88.04,3.2,2819.95
gen1,21,Basic Trainer,3,3,5,g1:0/g2:10/g3:60/g4:30,mid,563.99,118.08,297.94,88.04,3.2,2819.95
gen1,23,Gym Trainer 1,4,3,5,g1:0/g2:20/g3:65/g4:15,mid,594,126.02,312.1,91.8,2.95,2969.98
gen1,24,Gym Leader 4,4,3,5,g1:0/g2:20/g3:65/g4:15,mid,594,126.02,312.1,91.8,2.95,2969.98
gen1,26,Basic Trainer,4,4,6,g1:0/g2:20/g3:65/g4:15,mid,594,126.02,312.1,91.8,2.95,3563.98
gen1,27,Basic Trainer,4,4,6,g1:0/g2:20/g3:65/g4:15,mid,594,126.02,312.1,91.8,2.95,3563.98
gen1,29,Gym Trainer 1,5,4,6,g1:5/g2:30/g3:55/g4:10,mid,620.44,133.29,323.86,94.08,2.7,3722.62
gen1,30,Gym Trainer 2,5,4,6,g1:5/g2:30/g3:55/g4:10,mid,620.44,133.29,323.86,94.08,2.7,3722.62
gen1,31,Gym Leader 5,5,4,6,g1:5/g2:30/g3:55/g4:10,mid,620.44,133.29,323.86,94.08,2.7,3722.62
gen1,33,Basic Trainer,5,5,6,g1:5/g2:30/g3:55/g4:10,mid,620.44,133.29,323.86,94.08,2.7,3722.62
gen1,34,Elite Trainer,5,5,6,g1:5/g2:30/g3:55/g4:10,mid,620.44,133.29,323.86,94.08,2.7,3722.62
gen1,36,Gym Trainer 1,6,5,6,g1:8/g2:50/g3:37/g4:5,late,681.95,151.99,350.2,102.04,2.39,4091.71
gen1,37,Gym Trainer 2,6,5,6,g1:8/g2:50/g3:37/g4:5,late,681.95,151.99,350.2,102.04,2.39,4091.71
gen1,38,Gym Leader 6,6,5,6,g1:8/g2:50/g3:37/g4:5,late,681.95,151.99,350.2,102.04,2.39,4091.71
gen1,39,Rival,6,6,6,g1:8/g2:50/g3:37/g4:5,late,681.95,151.99,350.2,102.04,2.39,4091.71
gen1,41,Basic Trainer,6,6,6,g1:8/g2:50/g3:37/g4:5,late,681.95,151.99,350.2,102.04,2.39,4091.71
gen1,42,Elite Trainer,6,6,6,g1:8/g2:50/g3:37/g4:5,late,681.95,151.99,350.2,102.04,2.39,4091.71
gen1,44,Gym Trainer 1,7,6,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,45,Gym Trainer 2,7,6,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,46,Gym Leader 7,7,6,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,48,Elite Trainer,7,7,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,49,Elite Trainer,7,7,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,51,Gym Trainer 1,8,7,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,52,Gym Trainer 2,8,7,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,53,Gym Leader 8,8,7,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,56,Elite Trainer,8,8,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,57,Elite Trainer,8,8,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,58,Elite Trainer,8,8,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,60,E1,9,8,6,g1:30/g2:55/g3:15/g4:0,endgame,757.47,176.18,379.24,106.81,1.85,4544.83
gen1,61,E2,9,8,6,g1:30/g2:55/g3:15/g4:0,endgame,757.47,176.18,379.24,106.81,1.85,4544.83
gen1,62,E3,9,8,6,g1:30/g2:55/g3:15/g4:0,endgame,757.47,176.18,379.24,106.81,1.85,4544.83
gen1,63,E4,9,8,6,g1:30/g2:55/g3:15/g4:0,endgame,757.47,176.18,379.24,106.81,1.85,4544.83
gen1,64,Champion,9,8,6,g1:30/g2:55/g3:15/g4:0,endgame,757.47,176.18,379.24,106.81,1.85,4544.83
gen1,65,Rival,9,8,6,g1:12/g2:58/g3:28/g4:2,late,701.84,157.61,358.73,103.56,2.2,4211.04
gen1,67,Mystery Figure,9,8,6,g1:30/g2:55/g3:15/g4:0,endgame,757.47,176.18,379.24,106.81,1.85,4544.83
allgen,68,Rival,0,0,2,g1:0/g2:0/g3:10/g4:90,early,452.53,79.32,250.3,68.43,3.9,905.06
allgen,1,Basic Trainer,0,0,2,g1:0/g2:0/g3:10/g4:90,early,452.53,79.32,250.3,68.43,3.9,905.06
allgen,4,Gym Trainer 1,1,0,2,g1:0/g2:0/g3:15/g4:85,early,459.23,80.78,253.64,69.4,3.85,918.45
allgen,5,Gym Leader 1,1,0,2,g1:0/g2:0/g3:15/g4:85,early,459.23,80.78,253.64,69.4,3.85,918.45
allgen,7,Basic Trainer,1,1,3,g1:0/g2:0/g3:15/g4:85,early,459.23,80.78,253.64,69.4,3.85,1377.68
allgen,8,Basic Trainer,1,1,3,g1:0/g2:0/g3:15/g4:85,early,459.23,80.78,253.64,69.4,3.85,1377.68
allgen,10,Gym Trainer 1,2,1,3,g1:0/g2:5/g3:25/g4:70,early,485.31,86.69,266.48,72.87,3.65,1455.93
allgen,11,Gym Leader 2,2,1,3,g1:0/g2:5/g3:25/g4:70,early,485.31,86.69,266.48,72.87,3.65,1455.93
allgen,14,Basic Trainer,2,2,4,g1:0/g2:5/g3:25/g4:70,early,485.31,86.69,266.48,72.87,3.65,1941.24
allgen,15,Basic Trainer,2,2,4,g1:0/g2:5/g3:25/g4:70,early,485.31,86.69,266.48,72.87,3.65,1941.24
allgen,17,Gym Trainer 1,3,2,4,g1:0/g2:10/g3:60/g4:30,mid,565.61,115.64,303.72,84.49,3.2,2262.45
allgen,18,Gym Leader 3,3,2,4,g1:0/g2:10/g3:60/g4:30,mid,565.61,115.64,303.72,84.49,3.2,2262.45
allgen,12,Rival,3,3,5,g1:0/g2:10/g3:60/g4:30,mid,565.61,115.64,303.72,84.49,3.2,2828.07
allgen,20,Basic Trainer,3,3,5,g1:0/g2:10/g3:60/g4:30,mid,565.61,115.64,303.72,84.49,3.2,2828.07
allgen,21,Basic Trainer,3,3,5,g1:0/g2:10/g3:60/g4:30,mid,565.61,115.64,303.72,84.49,3.2,2828.07
allgen,23,Gym Trainer 1,4,3,5,g1:0/g2:20/g3:65/g4:15,mid,597.95,123.95,319.34,88.41,2.95,2989.73
allgen,24,Gym Leader 4,4,3,5,g1:0/g2:20/g3:65/g4:15,mid,597.95,123.95,319.34,88.41,2.95,2989.73
allgen,26,Basic Trainer,4,4,6,g1:0/g2:20/g3:65/g4:15,mid,597.95,123.95,319.34,88.41,2.95,3587.68
allgen,27,Basic Trainer,4,4,6,g1:0/g2:20/g3:65/g4:15,mid,597.95,123.95,319.34,88.41,2.95,3587.68
allgen,29,Gym Trainer 1,5,4,6,g1:5/g2:30/g3:55/g4:10,mid,625.54,131.44,331.95,91.27,2.7,3753.26
allgen,30,Gym Trainer 2,5,4,6,g1:5/g2:30/g3:55/g4:10,mid,625.54,131.44,331.95,91.27,2.7,3753.26
